Gender,Age,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Total,Total,0.045,0.049,0.051,0.050,0.058,0.063
Total,0 to 5,0.008,0.009,0.011,0.012,0.014,0.015
Total,6 to 10,0.040,0.047,0.053,0.052,0.063,0.074
Total,11 to 15,0.076,0.092,0.111,0.107,0.148,0.167
Total,16,0.102,0.120,0.146,0.146,0.182,0.193
Total,17,0.096,0.109,0.127,0.136,0.166,0.170
Total,18,0.074,0.084,0.094,0.100,0.124,0.129
Total,19,0.060,0.066,0.071,0.073,0.086,0.092
Total,20 to 29,0.049,0.054,0.057,0.058,0.066,0.073
Total,30 to 39,0.042,0.045,0.046,0.046,0.052,0.059
Total,40 to 49,0.038,0.039,0.039,0.037,0.040,0.044
Total,50 to 59,0.034,0.035,0.034,0.032,0.034,0.037
Total,60 to 69,0.027,0.028,0.028,0.026,0.029,0.032
Total,70 to 79,0.046,0.045,0.043,0.039,0.043,0.046
Total,80 to 89,0.116,0.113,0.109,0.098,0.104,0.112
Total,90 or over,0.170,0.170,0.161,0.147,0.158,0.168
Males,Total,0.044,0.047,0.048,0.047,0.052,0.054
Males,0 to 5,0.010,0.012,0.014,0.015,0.018,0.021
Males,6 to 10,0.053,0.061,0.067,0.066,0.077,0.093
Males,11 to 15,0.077,0.089,0.097,0.092,0.116,0.139
Males,16,0.086,0.100,0.112,0.108,0.126,0.140
Males,17,0.079,0.092,0.101,0.105,0.120,0.127
Males,18,0.064,0.071,0.077,0.078,0.091,0.098
Males,19,0.053,0.058,0.060,0.060,0.065,0.070
Males,20 to 29,0.047,0.051,0.052,0.050,0.054,0.058
Males,30 to 39,0.041,0.044,0.044,0.043,0.048,0.048
Males,40 to 49,0.039,0.040,0.040,0.038,0.040,0.041
Males,50 to 59,0.034,0.035,0.034,0.032,0.034,0.034
Males,60 to 69,0.027,0.028,0.028,0.026,0.029,0.029
Males,70 to 79,0.043,0.043,0.041,0.037,0.041,0.038
Males,80 to 89,0.107,0.105,0.102,0.091,0.097,0.077
Males,90 or over,0.156,0.157,0.148,0.135,0.147,0.076
Females,Total,0.046,0.050,0.052,0.051,0.061,0.069
Females,0 to 5,0.005,0.006,0.007,0.007,0.009,0.010
Females,6 to 10,0.026,0.030,0.034,0.035,0.045,0.052
Females,11 to 15,0.074,0.092,0.115,0.115,0.166,0.179
Females,16,0.118,0.139,0.170,0.178,0.228,0.226
Females,17,0.113,0.126,0.147,0.163,0.205,0.196
Females,18,0.085,0.096,0.107,0.118,0.152,0.147
Females,19,0.067,0.074,0.081,0.083,0.103,0.105
Females,20 to 29,0.052,0.058,0.062,0.064,0.077,0.084
Females,30 to 39,0.042,0.045,0.047,0.048,0.056,0.066
Females,40 to 49,0.037,0.038,0.038,0.036,0.040,0.045
Females,50 to 59,0.034,0.035,0.034,0.032,0.034,0.037
Females,60 to 69,0.027,0.028,0.028,0.026,0.029,0.032
Females,70 to 79,0.048,0.047,0.045,0.041,0.045,0.052
Females,80 to 89,0.121,0.119,0.115,0.103,0.110,0.154
Females,90 or over,0.176,0.177,0.167,0.152,0.163,0.355
